,id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId,exchangeHomePercent,exchangeAwayPercent,spread,kellyProportionHome,kellyProportionAway,betSize,winnings,return,betTeam
26,27,23,13,9.0,1.0,1.0,2017-04-19,Texas Rangers,Oakland Athletics,0.48,0.52,0.83,1,1.0,1.0,0.5464480874316939,0.5,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
27,28,12,11,10.0,5.0,0.0,2017-04-19,Miami Marlins,Seattle Mariners,0.57,0.43,0.67,1,1.25,1.0,0.5988023952095809,0.4444444444444444,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
28,29,10,5,9.0,1.0,1.0,2017-04-19,Chicago White Sox,New York Yankees,0.62,0.38,0.44,1,1.8,1.0,0.6944444444444444,0.35714285714285715,0.051587301587301626,0.0,0.0,0.0,0.0,0.0,
29,30,14,18,3.0,0.0,1.0,2017-04-19,Boston Red Sox,Toronto Blue Jays,0.45,0.55,1.0,1,0.83,1.0,0.5,0.5464480874316939,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
30,31,6,19,0.0,2.0,0.0,2017-04-19,Baltimore Orioles,Cincinnati Reds,0.52,0.48,0.91,1,0.91,1.0,0.5235602094240838,0.5235602094240838,0.04712041884816753,0.0,0.0,0.0,0.0,0.0,
31,32,9,26,5.0,4.0,1.0,2017-04-19,Philadelphia Phillies,New York Mets,0.59,0.41,0.73,1,1.15,1.0,0.5780346820809249,0.46511627906976744,0.04315096115069239,0.0,0.0,0.0,0.0,0.0,
32,33,21,29,8.0,7.0,1.0,2017-04-19,Detroit Tigers,Tampa Bay Rays,0.6,0.4,0.57,1,1.45,1.0,0.6369426751592357,0.4081632653061224,0.04510594046535821,0.0,0.0,0.0,0.0,0.0,
33,34,25,15,4.0,14.0,1.0,2017-04-19,Washington Nationals,Atlanta Braves,0.51,0.49,1.05,1,0.8,1.0,0.48780487804878053,0.5555555555555556,0.04336043360433606,0.0,0.0,0.0,0.0,0.0,
34,35,4,27,5.0,1.0,1.0,2017-04-19,Los Angeles Angels,Houston Astros,0.66,0.34,0.5,1,1.63,1.0,0.6666666666666666,0.3802281368821293,0.04689480354879594,0.0,0.0,0.0,0.0,0.0,
35,36,20,24,2.0,0.0,1.0,2017-04-19,San Francisco Giants,Kansas City Royals,0.44,0.56,1.25,1,0.67,1.0,0.4444444444444444,0.5988023952095809,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
36,37,16,22,4.0,2.0,1.0,2017-04-19,Colorado Rockies,Los Angeles Dodgers,0.68,0.32,0.41,1,2.05,1.0,0.7092198581560284,0.3278688524590164,0.03708871061504482,0.0,0.0,0.0,0.0,0.0,
37,38,17,8,1.0,0.0,1.0,2017-04-19,Arizona Diamondbacks,San Diego Padres,0.44,0.56,1.1,1,0.75,1.0,0.47619047619047616,0.5714285714285714,0.04761904761904745,0.0,0.0,0.0,0.0,0.0,
38,39,14,18,1.0,4.0,0.0,2017-04-20,Boston Red Sox,Toronto Blue Jays,0.46,0.54,1.35,1,0.62,1.0,0.425531914893617,0.6172839506172839,0.042815865510901,0.0,0.0,0.0,0.0,0.0,
39,40,28,7,2.0,6.0,0.0,2017-04-20,Cleveland Indians,Minnesota Twins,0.52,0.48,1.05,1,0.8,1.0,0.48780487804878053,0.5555555555555556,0.04336043360433606,0.0,0.0,0.0,0.0,0.0,
40,41,21,29,8.0,1.0,1.0,2017-04-20,Detroit Tigers,Tampa Bay Rays,0.55,0.45,0.85,1,0.95,1.0,0.5405405405405405,0.5128205128205129,0.053361053361053346,0.0,0.0,0.0,0.0,0.0,
