id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId
48,17,8,4.0,1.0,1.0,2017-04-20,Arizona Diamondbacks,San Diego Padres,0.480000,0.520000,1.05,1,0.80,1
49,23,12,9.0,6.0,1.0,2017-04-20,Seattle Mariners,Oakland Athletics,0.420000,0.580000,1.38,1,0.62,1
50,19,18,2.0,0.0,1.0,2017-04-21,Boston Red Sox,Baltimore Orioles,0.520000,0.480000,0.91,1,0.91,1
51,26,25,4.0,3.0,1.0,2017-04-21,Atlanta Braves,Philadelphia Phillies,0.540000,0.460000,0.85,1,0.95,1
52,30,10,6.0,3.0,1.0,2017-04-21,New York Yankees,Pittsburgh Pirates,0.440000,0.560000,0.95,1,0.85,1
53,6,1,5.0,6.0,0.0,2017-04-21,Chicago Cubs,Cincinnati Reds,0.370000,0.630000,1.63,1,0.50,1
54,9,15,3.0,4.0,0.0,2017-04-21,Washington Nationals,New York Mets,0.520000,0.480000,0.70,1,1.20,1
55,21,4,3.0,6.0,0.0,2017-04-21,Houston Astros,Tampa Bay Rays,0.500000,0.500000,1.00,1,0.83,1
56,13,20,6.0,2.0,1.0,2017-04-21,Kansas City Royals,Texas Rangers,0.610000,0.390000,0.62,1,1.35,1
57,5,7,0.0,3.0,0.0,2017-04-21,Cleveland Indians,Chicago White Sox,0.420000,0.580000,1.25,1,0.67,1
58,3,2,3.0,6.0,0.0,2017-04-21,St. Louis Cardinals,Milwaukee Brewers,0.540000,0.460000,1.00,1,0.83,1
59,28,29,6.0,3.0,1.0,2017-04-21,Detroit Tigers,Minnesota Twins,0.460000,0.540000,1.20,1,0.70,1
60,22,24,6.0,5.0,1.0,2017-04-21,San Francisco Giants,Colorado Rockies,0.470000,0.530000,1.00,1,0.83,1
61,8,16,13.0,5.0,0.0,2017-04-21,Los Angeles Dodgers,Arizona Diamondbacks,0.470000,0.530000,1.20,1,0.70,1
62,23,12,3.0,1.0,1.0,2017-04-21,Seattle Mariners,Oakland Athletics,0.520000,0.480000,0.75,1,1.10,1
63,27,14,7.0,8.0,0.0,2017-04-21,Toronto Blue Jays,Los Angeles Angels,0.540000,0.460000,0.67,1,1.25,1
64,17,11,5.0,3.0,1.0,2017-04-21,Miami Marlins,San Diego Padres,0.420000,0.580000,0.95,1,0.85,1
70,21,4,6.0,3.0,1.0,2017-04-22,Houston Astros,Tampa Bay Rays,0.490000,0.510000,1.10,2,0.80,1
73,5,7,0.0,7.0,0.0,2017-04-22,Cleveland Indians,Chicago White Sox,0.360000,0.640000,1.90,2,0.44,1
90,27,14,2.0,6.0,0.0,2017-04-23,Toronto Blue Jays,Los Angeles Angels,0.490000,0.510000,1.10,2,0.80,1
103,24,16,2.0,1.0,1.0,2017-04-24,Los Angeles Dodgers,San Francisco Giants,0.470000,0.530000,1.30,2,0.80,1
106,30,1,0.0,1.0,0.0,2017-04-25,Chicago Cubs,Pittsburgh Pirates,0.400000,0.600000,1.15,2,0.75,1
117,5,20,5.0,2.0,1.0,2017-04-26,Kansas City Royals,Chicago White Sox,0.600000,0.400000,0.74,2,1.25,1
129,24,16,4.0,3.0,1.0,2017-04-26,Los Angeles Dodgers,San Francisco Giants,0.520000,0.480000,0.95,2,0.91,1
134,22,15,5.0,16.0,1.0,2017-04-27,Washington Nationals,Colorado Rockies,0.470000,0.530000,1.05,2,0.85,1
144,18,1,5.0,4.0,1.0,2017-04-28,Chicago Cubs,Boston Red Sox,0.450000,0.550000,0.91,2,0.95,1
146,29,5,3.0,7.0,0.0,2017-04-28,Chicago White Sox,Detroit Tigers,0.570000,0.430000,0.83,2,1.10,1
147,11,30,2.0,12.0,1.0,2017-04-28,Pittsburgh Pirates,Miami Marlins,0.530000,0.470000,0.87,2,1.00,1
148,13,27,3.0,6.0,0.0,2017-04-28,Los Angeles Angels,Texas Rangers,0.520000,0.480000,1.05,2,0.83,1
163,2,6,4.0,5.0,0.0,2017-04-30,Cincinnati Reds,St. Louis Cardinals,0.590000,0.410000,0.95,2,0.91,1
174,25,9,5.0,7.0,0.0,2017-05-01,New York Mets,Atlanta Braves,0.560000,0.440000,1.15,2,0.75,1
176,4,13,6.0,2.0,1.0,2017-05-01,Texas Rangers,Houston Astros,0.650000,0.350000,0.87,2,1.00,1
181,15,8,3.0,6.0,0.0,2017-05-02,Arizona Diamondbacks,Washington Nationals,0.000000,0.000000,0.74,2,1.90,1
