"id","awayPrice","homePrice","exchangeId","gameId"
800,0.87,0.95,2,289
801,1.45,0.61,2,290
802,0.69,1.25,2,291
803,1.65,0.54,2,292
804,1.70,0.50,2,293
805,1.15,0.74,2,294
806,1.15,0.74,2,295
807,1.90,0.43,2,296
808,0.95,0.87,2,297
809,1.35,0.65,2,298
810,1.20,0.71,2,299
811,1.00,0.83,2,300
812,0.83,1.00,2,301
813,1.10,0.77,2,302
814,0.95,0.87,2,303
815,1.00,0.83,2,304
816,0.77,1.10,2,305
817,1.20,0.71,2,306
818,1.45,0.61,2,307
819,1.25,0.69,2,308
820,1.15,0.74,2,309
821,0.91,0.91,2,310
822,1.05,0.80,2,311
823,0.83,1.00,2,312
824,0.95,0.87,2,313
825,1.25,0.69,2,314
826,0.56,1.60,2,315
827,1.25,0.69,2,316
828,1.05,0.80,2,317
829,1.30,0.67,2,318
830,1.95,0.43,2,319
832,1.15,0.74,2,321
833,0.83,1.00,2,322
834,1.25,0.69,2,323
835,0.71,1.20,2,324
836,1.00,0.83,2,325
837,0.87,0.95,2,326
838,0.87,0.95,2,327
839,0.87,0.95,2,328
840,0.71,1.20,2,329
841,0.80,1.05,2,330
842,1.00,0.83,2,331
1143,1.25,0.69,2,332
1144,1.45,0.61,2,333
1145,1.10,0.77,2,334
1146,1.55,0.57,2,335
1147,1.55,0.57,2,336
1148,1.35,0.65,2,337
1149,1.70,0.50,2,338
1150,0.67,1.30,2,339
1151,0.74,1.15,2,340
1152,0.77,1.10,2,341
1153,1.10,0.77,2,342
1154,0.74,1.15,2,343
1155,0.87,0.95,2,344
1156,1.25,0.69,2,345
1157,1.20,0.71,2,346
1158,1.75,0.48,2,347
1159,1.00,0.83,2,348
1160,1.30,0.67,2,349
1161,0.87,0.95,2,350
1162,1.15,0.74,2,351
1163,0.95,0.87,2,352
1164,1.55,0.74,2,353
1165,0.95,0.87,2,354
1166,1.00,0.83,2,355
1167,0.69,1.25,2,356
1168,1.20,0.71,2,357
1169,1.55,0.57,2,358
1170,0.61,1.45,2,359
1171,0.95,0.87,2,360
1172,0.54,1.65,2,361
1173,1.67,0.52,2,362
1174,1.67,0.52,2,363
1175,0.87,0.95,2,364
1176,0.91,0.91,2,365
1177,1.50,0.59,2,366
1178,1.60,0.56,2,367
1179,1.00,0.83,2,368
1180,0.91,0.91,2,369
1181,0.59,1.50,2,370
1182,1.00,0.83,2,371
1183,1.20,0.71,2,551
1184,1.15,0.74,2,552
1185,1.20,0.71,2,553
1186,1.00,0.83,2,554
1187,0.87,0.95,2,555
1188,1.50,0.59,2,556
1189,1.20,0.71,2,557
1190,1.20,0.71,2,558
1191,0.71,1.20,2,559
1192,1.50,0.59,2,560
1193,1.15,0.74,2,561
1194,0.95,0.87,2,562
1198,1.30,0.67,2,566
1199,1.90,0.43,2,567
1200,0.91,0.91,2,568
1201,1.00,0.83,2,569
1202,0.80,1.05,2,570
1203,0.80,1.05,2,571
1204,0.91,0.91,2,572
1205,1.75,0.48,2,573
1206,1.45,0.48,2,574
1207,1.40,0.63,2,575
1208,0.95,0.87,2,576
1209,1.15,0.74,2,577
1210,0.91,0.91,2,578
1211,1.25,0.69,2,579
1212,1.30,0.67,2,580
1213,0.80,1.05,2,581
1214,0.59,1.50,2,582
1215,1.15,0.74,2,583
1216,0.87,0.95,2,584
1217,1.30,0.67,2,585
1218,0.54,1.65,2,586
1219,2.20,0.37,2,587
1220,0.67,1.30,2,588
1221,1.00,0.83,2,589
1223,1.70,0.50,2,3336
1224,0.86,0.95,2,3337
1225,1.05,0.80,2,3338
1226,0.45,1.80,2,3339
1227,0.95,0.86,2,3340
1228,1.05,0.80,2,3341
1229,0.76,1.10,2,3342
